MemberShip Number,Member Type,Dependant Type,Principal Membership Number,Cover Category,Date Joined,Title,FirstName,Surname,other Name,Identification Type,Identification,Kra Pin,Gender,Date Of Birth,Marital Status,Physical Address,Staff No,Work Address,Email Address,NHIF No,Phone Number,Secondary Phone Number,Is VIP,Survey Consent,Is Disabled,Bank Name,Bank Account Name,Bank Account Number,Bank Branch,Bank Code,Payment Ref,Renewal Status,Reason,Member Status,Status Reason,Branch,Effective Date - Cost Centre,Cost Centre,Effective Date - Department,Department,Effective Date - Location,Location,Deactivation Date,WPP Code
264366257379,Dependant,Child,174302501568,CAT A,2023-06-18,Honorable,Cesya,Braunle,Cesya Braunle,TAX_ID,562966492861,898725053332,FEMALE,1982-10-24,Married,82 Iowa Trail,297166626440,72 Jenna Street,cbraunle0@cocolog-nifty.com,197428394593,710-241-1379,548-851-2983,false,false,false,Oyope,Cesya Braunle,693513812784,52 Dixon Parkway,816296971639,385428479737,Renewing,Multi-layered well-modulated help-desk,Deceased,incentivize ubiquitous content,Trudoo,2024-03-01,Marketing,2023-09-05,Product Management,2023-09-15,Nianpan,2023-05-03,67
509232106461,Dependant,Child,32968705585,CAT A,2023-08-31,Honorable,Chevy,Deary,Chevy Deary,TAX_ID,507918782083,158752053528,FEMALE,1991-04-25,Unknown,59 Lunder Place,29102829070,67 Manufacturers Hill,cdeary1@sphinn.com,878125531424,414-687-1837,812-999-5256,true,false,false,Zoonoodle,Chevy Deary,889496977988,0625 Mendota Park,676934052367,64062521220,NotRenewing,Multi-tiered demand-driven open system,Suspend,facilitate plug-and-play initiatives,Jetwire,2023-08-25,Human Resources,2023-11-15,Legal,2023-05-22,Bribir,2023-07-19,69
512929398255,Dependant,Child,689541961143,CAT A,2023-06-25,Mrs,Catarina,Winders,Catarina Winders,NATIONAL_ID,528593844554,290677539814,FEMALE,2000-03-16,Married,29 Mosinee Place,568812623744,5 Homewood Way,cwinders2@mayoclinic.com,43591803819,302-714-7094,478-754-2377,false,false,false,Brightbean,Catarina Winders,493704219683,77975 Katie Alley,197011591870,171579587794,NotRenewing,Team-oriented modular database,Deactivate,grow end-to-end e-business,Cogibox,2023-07-23,Product Management,2023-04-24,Legal,2023-12-29,Badeggi,2023-09-01,15
339629441078,Principal,Child,869277077818,CAT A,2023-04-06,Dr,Gertrudis,Trahair,Gertrudis Trahair,TAX_ID,654200417176,540652447111,FEMALE,1994-07-04,Single,34 Derek Street,708981438297,64877 Continental Place,gtrahair3@redcross.org,992847409437,529-595-7647,689-477-6849,true,true,true,Oyope,Gertrudis Trahair,596344443319,115 Clove Plaza,739062239883,78144291459,NotRenewing,Enhanced transitional instruction set,Deactivate,expedite viral synergies,Fiveclub,2023-09-03,Training,2024-01-05,Engineering,2023-09-23,Sa Kaeo,2023-07-25,82
500850748068,Dependant,Spouse,57095165620,CAT A,2024-01-13,Honorable,Olivette,Baptist,Olivette Baptist,PASSPORT,361556817513,219369227516,FEMALE,1995-09-22,Single,662 Lakeland Court,119160898171,557 Main Place,obaptist4@cam.ac.uk,490765705963,927-438-1025,218-290-9472,true,true,true,Cogilith,Olivette Baptist,894784211539,4 Waubesa Court,577010578810,426655350609,NotRenewing,Profit-focused mission-critical support,Deactivate,revolutionize plug-and-play partnerships,Skinte,2023-04-02,Sales,2023-05-24,Accounting,2024-03-15,Merton,2023-12-02,61
236102359538,Principal,Spouse,609955775380,CAT A,2024-03-17,Honorable,Sapphira,Cleator,Sapphira Cleator,TAX_ID,585677336562,843168638770,MALE,1991-11-13,Unknown,244 Londonderry Park,383988534939,7524 Loomis Pass,scleator5@techcrunch.com,155185993088,290-672-0222,809-776-3894,true,false,false,Kare,Sapphira Cleator,839696556685,49717 Forster Trail,770064853603,505277913539,NotRenewing,Mandatory local firmware,Deactivate,aggregate bleeding-edge markets,Kayveo,2024-02-16,Sales,2024-03-04,Sales,2023-07-12,Leduc,2023-07-22,18
95158864283,Dependant,Child,139659207262,CAT A,2024-02-19,Mrs,Ashli,Railton,Ashli Railton,TAX_ID,530275021739,938689604767,MALE,1981-02-16,Married,12 3rd Park,308955029625,726 Huxley Terrace,arailton6@usa.gov,263648175429,209-106-1579,545-446-6743,true,true,true,Mymm,Ashli Railton,742254829816,4557 6th Alley,420651740722,599382418770,Renewing,Extended logistical throughput,Deleted,target vertical interfaces,Devbug,2023-06-12,Engineering,2023-04-17,Legal,2023-05-12,Xingguo,2024-03-24,55
571088549459,Principal,Spouse,659743013030,CAT A,2023-11-24,Mrs,Fredrick,Leek,Fredrick Leek,TAX_ID,70980762142,663149519894,MALE,1992-06-26,Unknown,77743 Dryden Way,41166432753,14075 Monument Place,fleek7@parallels.com,611670928935,911-916-3795,930-660-7845,true,false,false,Tazzy,Fredrick Leek,543118961930,17979 Hooker Circle,883786698899,735021640123,NotRenewing,Sharable heuristic service-desk,Deceased,syndicate integrated e-markets,Kaymbo,2023-06-06,Support,2023-09-09,Sales,2023-04-18,Neni,2024-03-01,81
429291862997,Dependant,Child,385248659408,CAT A,2023-04-17,Dr,Filia,Slesser,Filia Slesser,TAX_ID,166204571197,798920700362,MALE,1991-05-30,Unknown,69719 Sutherland Crossing,518274258299,2897 Arizona Point,fslesser8@google.com.au,155790334660,205-240-1623,695-164-6055,false,true,true,Skinix,Filia Slesser,759276511866,4 Straubel Road,655294283207,635879784176,NotRenewing,Vision-oriented content-based knowledge base,Deactivate,repurpose efficient ROI,Demivee,2023-10-29,Marketing,2023-09-14,Sales,2024-02-18,Juatuba,2023-06-22,98
376032871663,Principal,Child,632030875183,CAT A,2023-12-06,Honorable,Val,Kochlin,Val Kochlin,NATIONAL_ID,607999073164,920265407784,MALE,1988-06-15,Married,8 Rigney Point,482241946133,4326 Arrowood Street,vkochlin9@state.gov,381063288268,365-905-5612,477-287-0989,true,true,false,Babblestorm,Val Kochlin,498305155707,452 Gateway Junction,463370724970,224154073773,NotRenewing,Grass-roots object-oriented website,Suspend,deploy 24/365 architectures,Shufflebeat,2023-07-19,Human Resources,2023-08-17,Product Management,2024-02-08,Zašová,2023-08-22,99
